,0
0,"✓Кофе Живой Арабика жареный в зернах/молотый 200г – 159,90 руб.
"
1,"✓Печенье-сэндвич Belvita утреннее с йогуртной начинкой/ и с какао 253г – 99,90 руб.
"
2,"✓Блинчики Морозко в ассортименте 210г – 49,90 руб.
"
3,"✓Туалетная бумага Zewa делюкс с ароматом ромашки/orichid розовая 3 слоя 4 шт. — 129 руб.
"
4,"✓Корм для взрослых кошек/котят Феликс сенсейшен в ассортименте 75г – 20,90 руб.
"
5,"✓Корм для собак Сesar в ассортименте 85г – 24,90 руб.
"
6,"✓Вафельные трубочки Сладонеж с шоколадным кремом 175г – 49,90 р.
"
7,"✓Какао-напиток Хрутка 250г – 99,90 р.
"
8,"✓Колбаски Пиколини Дымов в ассортименте 50г – 49,90 р.
"
9,"✓Пиво безалкогольное Жигули барное 0,0% 0,45л – 49,90 р.
"
10,"✓Рис круглозерный Увелка 5 пакетиков по 80г – 69,90 р.
"
11,"✓Бифштекс рубленый Ратимир 400г – 149,90 р
"
12,"✓Мороженое пломбир ванильный Париж Фабрика Мороженого 80г – 39,90 р.
"
13,"✓Мороженое эскимо пломбир кедровый Урса 65г – 49,90 р.
"
14,"✓Лапша Биг Ланч с говядиной, грибами и зеленью/с тушёной курицей и луком 90г – 39,90 р.
"
15,"✓Пюре картофельное Биг Ланч с соусом с курицей/с соусом с говядиной 50г – 39,90 р.
"
16,"✓Гель для душа серии Fito Superfood в ассортименте 520мл – 129,90 р. 
"
17,"✓Мороженое Полярис Дабл Бьянка черника стакан 120г – 79,90 р. 
"
18,"✓Мороженое Полярис Дабл Бьянка малина/черника стакан 120г – 59,90 р. 
"
19,"✓Газированный напиток Шмаковка буратино/дюшес/крем-сода 1,5л – 39,90 р. 
"
20,"✓Рулет Яшкино варёная сгущенка/вишневый/клубника со сливками 200г – 39,90 р. 
"
21,"✓Газированный напиток Шмаковка буратино/дюшес/крем-сода 1,5л – 39,90 р. 
"
22,"✓Рулет Яшкино варёная сгущенка/вишневый/клубника со сливками 200г – 39,90 р. 
"
23,"✓ Манго на палочке Мангоша 75г – 29,90 р. действует во всех супермаркетах «Реми»
"
24,"✓ Мороженое трубочка Свитлогорье в ассортименте 80г – 49,90 р. действует в супермаркетах Приморского и Хабаровского края
"
25,"✓Пудинг 3,2% Эрманн шоколадный 100г – 24,90 р. 
"
26,"✓Сыр плавленый Хохланд ломтевой в ассортименте 150г – 79,90 р. 
"
27,"✓Йогурт 3,2% Родимая сторонка без сахара в ассортименте 150г – 44,90 р. 
"
28,"✓Йогурт питьевой 1,5% Родимая сторонка в ассортименте 300г – 44,90 р. 
"
29,"✓Йогурт 3,2% Родимая сторонка без сахара в ассортименте 150г – 44,90 р. 
"
30,"✓Йогурт питьевой 1,5% Родимая сторонка в ассортименте 300г – 44,90 р. 
"
31,"✓Туалетная бумага Zewa Делюкс 3-хслойная с ароматом персика/ромашки 4шт – 139,90 р. ⠀ 
"
32,"✓Туалетная бумага Zewa Делюкс 3-хслойная с ароматом персика/ромашки 4шт – 129,90 р. ⠀ 
"
33," ✓Гель для стирки Вimax 100 пятен 900мл – 299,90 р. 
"
34," ✓Стиральный порошок Вimax Color автомат 2,4кг – 299,90 р. 
"
35," ✓Стиральный порошок Вimax 100 пятен автомат 2,4кг – 299,90 р. 
"
36," ✓Соус Мivimex перцовый/перцовый с чесноком/перцовый с чесноком и помидором 200г – 39,90 р. 
"
37," ✓Люля-кебаб Ратимир п/ф 300г – 99,90 р. 
"
38," ✓Пиво безалкогольное Циндао светлое 0,33 – 59,90 р. 
"
39," ✓Чипсы Бингрэ зяки зяки/краб/морская капуста 50г – 39,90 р.
"
40,"✓Чипсы Бингрэ зяки зяки/краб/морская капуста 50г – 39,90 р.
"
